в	21,04,2018
в	22,04,2018
р	23,04,2018
р	24,04,2018
р	25,04,2018
р	26,04,2018
р	27,04,2018
р	28,04,2018
в	29,04,2018
в	30,04,2018
в	01,05,2018
в	02,05,2018
р	03,05,2018
р	04,05,2018
в	05,05,2018
в	06,05,2018
р	07,05,2018
р	08,05,2018
в	09,05,2018
р	10,05,2018
р	11,05,2018
в	12,05,2018
в	13,05,2018
р	14,05,2018
р	15,05,2018
р	16,05,2018
р	17,05,2018
р	18,05,2018
в	19,05,2018
в	20,05,2018
р	21,05,2018
р	22,05,2018
р	23,05,2018
р	24,05,2018
р	25,05,2018
в	26,05,2018
в	27,05,2018
р	28,05,2018
р	29,05,2018
р	30,05,2018
р	31,05,2018
р	01,06,2018
в	02,06,2018
в	03,06,2018
р	04,06,2018
р	05,06,2018
р	06,06,2018
р	07,06,2018
р	08,06,2018
р	09,06,2018
в	10,06,2018
в	11,06,2018
в	12,06,2018
р	13,06,2018
р	14,06,2018
р	15,06,2018
в	16,06,2018
в	17,06,2018
р	18,06,2018
р	19,06,2018
р	20,06,2018
р	21,06,2018
р	22,06,2018
в	23,06,2018
в	24,06,2018
р	25,06,2018
р	26,06,2018
р	27,06,2018
р	28,06,2018
р	29,06,2018
в	30,06,2018
в	01,07,2018
р	02,07,2018
р	03,07,2018
р	04,07,2018
р	05,07,2018
р	06,07,2018
